"","VIN..1.10.","County","City","State","Postal.Code","Model.Year","Make","Model","Electric.Vehicle.Type","Clean.Alternative.Fuel.Vehicle..CAFV..Eligibility","Electric.Range","Base.MSRP","Legislative.District","DOL.Vehicle.ID","Vehicle.Location","Electric.Utility","X2020.Census.Tract"
"897","2C4RC1L74K","Kitsap","Bainbridge Island","WA",98110,2019,"CHRYSLER","PACIFICA","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible",32,39995,23,114419329,"POINT (-122.5305071 47.6400595)","PUGET SOUND ENERGY INC",53035090901
"898","KNDJX3AE2G","King","Sammamish","WA",98074,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,45,6743439,"POINT (-122.0430602 47.6259676)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033032318
"899","5YJSA1DN1D","Snohomish","Edmonds","WA",98026,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,21,183693303,"POINT (-122.338942 47.821454)","PUGET SOUND ENERGY INC",53061050101
"900","5YJSA1DN1D","King","Seattle","WA",98199,2013,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,36,131301355,"POINT (-122.394937 47.649547)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033005600
"901","KNDJP3AE6G","Clark","Camas","WA",98607,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,18,127114949,"POINT (-122.4220033 45.6092439)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011040608
"902","5YJSA1H10E","King","Medina","WA",98039,2014,"TESLA","MODEL S","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",208,69900,48,223350648,"POINT (-122.2363532 47.621118)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033024200
"903","YV4BR0PL6J","King","Kenmore","WA",98028,2018,"VOLVO","XC90","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",19,64950,46,348936255,"POINT (-122.2478069 47.75817)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033021600
"904","2C4RC1H76K","King","Seattle","WA",98116,2019,"CHRYSLER","PACIFICA","Plug-in Hybrid Electric Vehicle (PHEV)","Clean Alternative Fuel Vehicle Eligible",32,39995,34,9090896,"POINT (-122.395519 47.572137)","CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)",53033009801
"905","WBA8E1C54H","Clark","Vancouver","WA",98683,2017,"BMW","330E","Plug-in Hybrid Electric Vehicle (PHEV)","Not eligible due to low battery range",14,44100,17,6342997,"POINT (-122.515805 45.604689)","BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)",53011041310
"906","KNDJX3AE9G","King","Bellevue","WA",98007,2016,"KIA","SOUL","Battery Electric Vehicle (BEV)","Clean Alternative Fuel Vehicle Eligible",93,31950,48,105489744,"POINT (-122.1436732 47.6157551)","PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)",53033023300
